Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00256 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87097
Selection:  EFST: [x, y]: [495 498], 0 f: 0.00293 s: 0.00293 g: 17, idx: 53, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00257 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87302
Selection:  EFST: [x, y]: [495 498], 1 f: 0.00293 s: 0.00293 g: 17, idx: 53, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00258 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87500
Selection:  EFST: [x, y]: [494 497], 0 f: 0.00294 s: 0.00294 g: 18, idx: 64, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00256 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.86923
Selection:  EFST: [x, y]: [494 497], 1 f: 0.00294 s: 0.00294 g: 18, idx: 64, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00256 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87121
Selection:  EFST: [x, y]: [495 498], 2 f: 0.00293 s: 0.00293 g: 17, idx: 53, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00257 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87313
Selection:  EFST: [x, y]: [495 498], 0 f: 0.00293 s: 0.00293 g: 19, idx: 58, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00258 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87500
Selection:  EFST: [x, y]: [495 498], 1 f: 0.00293 s: 0.00293 g: 19, idx: 58, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00258 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87681
Selection:  EFST: [x, y]: [495 498], 2 f: 0.00293 s: 0.00293 g: 19, idx: 58, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00257 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.87143
Selection:  EFST: [x, y]: [495 498], 0 f: 0.00293 s: 0.00293 g: 17, idx: 60, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00255 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.86620
Selection:  EFST: [x, y]: [495 498], 1 f: 0.00293 s: 0.00293 g: 17, idx: 60, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00256 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.86806
Selection:  EFST: [x, y]: [494 497], 0 f: 0.00294 s: 0.00294 g: 18, idx: 72, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [494 497], 2 f: 0.00294 s: 0.00254 g: 16, idx: 59, ggf: 1.00000, nof: 1.00000, nwof: 0.86301
Selection:  EFST: [x, y]: [493 496], 0 f: 0.00296 s: 0.00296 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 0 f: 0.00296 s: 0.00296 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [493 496], 1 f: 0.00296 s: 0.00296 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 1 f: 0.00296 s: 0.00296 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [492 497], 0 f: 0.00296 s: 0.00296 g: 20, idx: 74, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [493 496], 2 f: 0.00296 s: 0.00257 g: 19, idx: 73, ggf: 1.00000, nof: 1.00000, nwof: 0.86842
Selection:  EFST: [x, y]: [492 497], 1 f: 0.00296 s: 0.00296 g: 20, idx: 74, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
